Constraint,CapRes_1,CapRes_2,CapRes_3
t67,14.36358581308832,14.277177789632871,2.2962889264749773
t68,14.363585813088322,14.277177789632878,2.296288926474977
t69,14.363585813088322,14.277177789632875,2.2962889264749764
t70,14.363585813088322,14.277177789632866,2.296288926474977
t71,14.347049045130149,14.277177789632871,-0.0
t72,13.923880698979463,10.140624333776843,0.0
t73,0.0,0.0,0.0
t74,0.0,0.0,0.0
t75,0.0,0.0,0.0
t76,0.0,0.0,0.0
t77,0.0,0.0,0.0
t78,0.0,0.0,0.0
t79,0.0,0.4932467049739486,0.0
t80,0.0,0.0,0.0
t81,0.0,0.0,0.0
t82,0.0,0.0,0.0
t83,0.0,0.0,0.0
t84,0.0,0.0,0.0
t85,0.0,0.0,0.0
t86,0.0,0.0,0.0
t87,0.0,0.0,0.0
t88,0.0,0.0,0.0
t89,0.0,0.0,0.0
t90,0.0,0.0,0.0
t91,0.0,-0.0,0.0
t92,0.0,0.0,0.0
t93,0.0,0.0,0.0
t94,0.0,0.0,0.0
t95,0.0,0.0,0.0
t96,0.0,0.0,0.0
t97,0.0,0.0,0.0
t98,0.0,0.0,0.0
t99,0.0,0.0,0.0
t100,0.0,0.0,0.0
t101,0.0,0.0,0.0
t102,0.0,0.0,0.0
t103,0.0,0.0,0.0
t104,0.0,-0.0,0.0
t105,0.0,0.0,0.0
t106,0.0,0.0,0.0
t107,0.0,0.0,0.0
t108,-0.0,0.0,0.0
t109,-0.0,0.0,0.0
t110,0.0,0.0,0.0
t111,-0.0,0.0,0.0
t112,0.7523885996074389,0.0,0.0
t113,0.0,0.0,0.0
t114,0.0,0.0,0.0
t115,0.0,0.0,0.0
t116,0.0,0.0,0.0
t117,0.0,0.0,0.0
t118,0.0,0.0,0.0
t119,0.0,0.0,0.0
t120,0.0,0.0,0.0
t121,0.0,0.0,0.0
t122,0.0,0.0,0.0
t123,0.0,0.0,0.0
t124,0.0,0.0,0.0
t125,0.0,0.0,0.0
t126,0.0,0.0,0.0
t127,0.0,-0.0,0.0
t128,0.0,0.0,0.0
t129,0.0,0.0,0.0
t130,0.0,-0.0,0.0
t131,0.0,0.0,0.0
t132,0.0,0.0,0.0
t133,0.0,-0.0,0.0
t134,0.0,-0.0,0.0
t135,0.0,0.0,0.0
t136,0.0,-0.0,-0.0
t137,0.0,0.4932467049739478,-0.0
t138,0.0,0.4932467049739478,-0.0
t139,0.0,0.4932467049739478,0.0
t140,0.0,0.0,0.0
t141,0.0,0.0,0.0
t142,0.0,0.0,0.0
t143,0.0,0.0,0.0
t144,0.0,0.0,0.0
t145,469.0752288161107,566.5200457047455,566.8202315789474
t146,349.94372335464675,370.06315427957423,370.3208475274971
t147,294.7508262418453,295.0644418830138,293.9737474685422
t148,284.2930688824151,294.2795897719411,293.18889535746956
t149,235.68173277827697,294.2795897719411,293.18889535746956
t150,284.2930688824151,306.5790938451236,293.9737474685422
t151,306.0858471401497,306.5790938451236,305.33345854054215
t152,306.0858471401497,306.5790938451236,305.33345854054215
t153,306.0858471401497,306.5790938451236,305.3334585405422
t154,318.0535881599705,306.5790938451236,305.33345854054215
t155,362.05582302625413,306.5790938451236,305.33345854054215
t156,362.05582302625413,306.5790938451236,305.33345854054215
t157,362.05582302625413,306.5790938451236,305.33345854054215
t158,362.05582302625413,306.5790938451236,305.3334585405422
t159,362.05582302625413,306.5790938451236,305.33345854054215
t160,469.0752288161107,306.5790938451236,305.33345854054215
t161,469.0752288161107,388.2295390849018,388.1854884498796
t162,469.0752288161107,396.0869668272816,394.8413315227002
