Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
t74,1830.0,0.0,366.6317756468417,489.45657640140837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.149101642966694,0.8735517591940682,1.7236524644500406,0.19933395847381422,1.0552974272143107,1.9523002403464749,6.994276837037071,2.3802819747167225,19.374905323441002,92.42059514101052,15.567460017825361,1.9203981446765086,1.4531871866595727,2.877375072476714,0.33188088741892685,1.759290917774117,3.254365983428311,11.660941083195107,3.972904215412978,36.679439623077585,114.7101919798532,29.38612470789539,3037.785208636795
t75,1830.0,0.0,0.0,1490.0,1924.4871168922946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3107027661758123,0.23619751102140832,0.4660541492637183,0.0,0.2853392750594194,0.5278776588599259,1.891165306366041,0.6435985870784683,5.261091791391982,27.908497769761702,4.132000542354867,0.8780845947657595,0.6644566312740899,1.3156535958486968,0.1517495188940826,0.8044197797686323,1.4880292629419751,5.331859309492086,1.8165743378291637,16.85076447905441,56.2726400421665,13.204208637753238,5384.928082439416
t76,596.833483061683,0.0,0.0,1490.0,3125.9124924075604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6940780791278565,0.5276409887247479,1.0411171186917842,0.1204012994405465,0.6374186440970109,1.17922449157947,4.224669124487411,1.4377331639077022,11.774821466488486,51.06392081116742,9.119256076016388,1.1002311931630073,0.8325574968397926,1.6485007642526266,0.1901406256640768,1.0079299185687953,1.8644857468030829,6.680766255129066,2.2761494314932684,21.15216889889606,62.50863649460917,16.34243222980998,5410.170255788202
t77,0.0,240.0,57.80229364766106,1138.0478662366068,2470.6340088576108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8392683775914753,1.3982193278629071,2.758902566387212,0.3190567593781131,1.689124020237069,3.124879437438578,11.195138645237908,3.8099130678680555,31.661891420328317,135.7013547089429,23.56878133944494,0.5708256345419995,0.43195027043362716,0.8552806906812171,0.09864939657353347,0.5229375779529056,0.9673387430996973,3.4661375359186173,1.1809194754870562,11.128626775868392,37.990073032382774,8.27343627284756,4189.036873818384
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9697361776879023,2.257605563650497,4.454604266531852,0.5151583165376973,2.7273087346113387,5.045521159030976,18.07599622439626,6.151596368067796,52.12934753903657,236.12157093879577,37.122915092463195,2.2844906268752427,1.7287001220146552,3.422902902348308,0.39480291034924503,2.092838728647454,3.871368344201334,13.871764393727354,4.726135810297273,45.231038532613546,131.6484482656313,32.30590617077972,609.1497571882952
t79,1830.0,99.5997165582282,1166.7,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.379430431739664,8.650689460863314,17.069145647609492,1.9739828299956557,10.450497335271116,19.333420070251567,69.2635740054358,23.571677322889297,198.7215392219992,837.0304351837964,138.81258138103988,6.313191461927037,4.777264008941433,9.459194589766515,1.0910381217759813,5.7835613057251045,10.69852915527904,38.334630705895876,13.06067965193966,124.60577516779021,359.4929814757219,87.19060951063423,5093.364144604515
t80,1486.5362034586713,240.0,1166.7,1490.0,3693.0,0.0,174.29331248294045,2451.950024480355,-0.0,-0.0,-0.0,893.5056673948734,356.1176472238016,0.0,0.0,0.0,16.506506622093173,12.548313707611646,14.542773991648843,1.6126053495841273,15.159036693759033,28.044217883454216,0.0,34.192049431478715,285.79612419164295,1214.6318272279618,219.28567149666225,12.378436172272744,9.366903882038605,18.546885070200606,2.139226385476666,0.0,20.97688009059643,75.16369212660244,25.608409061094456,242.748801344688,690.2312097650803,186.0893822264486,15077.671807761037
t81,1830.0,240.0,1166.7,0.0,3693.0,0.0,174.29331248294045,363.74449083075825,1501.2343592460325,-0.0,-0.0,893.5056673948734,356.1176472238016,0.0,2744.4971883678822,0.0,8.344326768479261,4.708303707527429,19.507195941578594,2.2559342245363,11.94318118872159,22.09488519913494,79.15675087858254,26.93850868122758,104.97093724798128,535.0161666494462,149.66856004499186,14.012601103561181,10.603495130379352,20.99539057966465,2.421640794742956,12.837047319705377,23.746186433887235,85.08658287548306,28.98915630988412,266.92071731030586,785.176510164807,221.73694759438817,15400.223691695308
t82,910.3570405434195,240.0,1166.7,0.0,3693.0,0.0,-1.1739401721253828e-12,2451.950024480355,3882.1785681828255,-0.0,-0.0,893.5056673948734,0.0,0.0,0.0,0.0,7.71811414135048,5.867341872761333,11.577171212025718,1.3388565347240626,7.088064007362684,5.785925944370728,0.0,13.66149131877242,127.6825111266575,584.5639993591441,108.83143995500814,13.15952577425527,9.95796329561934,19.717208920150927,2.2742133468931085,12.055538712656674,22.300538644291645,79.9065835185064,27.224320939021386,246.65226214734494,737.0497555887428,209.58066360998976,15491.684790571122
t83,804.0722517735685,240.0,1166.7,0.0,0.0,0.0,0.0,2451.950024480355,3882.1785681828255,-0.0,-0.0,145.18638345163174,0.0,0.0,0.0,0.0,8.781905903164564,6.676040712099591,13.172858854746842,1.5233918403448732,1.8097181101566946,14.92027890690714,53.453131339159825,18.191090799412308,144.1504274337182,617.300041362803,123.87897295971943,14.763013067078328,11.171340424920011,22.119749444464674,2.551326083740047,13.524505259437532,25.01785771434415,49.28239024806727,30.54160253642212,275.13575933622496,232.71722830911813,235.11741073975898,10605.887269274188
t84,1830.0,240.0,1166.7,0.0,3693.0,0.0,0.0,0.0,3882.1785681828255,-0.0,0.0,0.0,214.69738019109494,0.0,0.0,0.0,7.412564111560173,5.635061492971764,11.118846167340257,1.2858529581277849,6.807456837147097,12.593795148722128,45.11831114842493,11.010529007813588,119.77959021975963,528.6203208410049,105.80477039096007,11.563145794229726,8.749964351002667,27.429974922948748,3.1638156965999125,16.771294857704394,0.0,111.16358258247651,37.87363838745332,335.3296742930707,982.4445016674974,294.8740243806142,13711.126663631352
t85,839.4706860014342,240.0,1166.7,0.0,3693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,5.502666299959914,4.183149381091975,8.25399944993987,0.9545441540746791,5.053469050983594,9.348917744319651,0.0,11.398380192774107,88.2508589744456,399.004153099135,79.23010767813119,20.75995226461003,15.70929273714618,31.105096262242878,0.017364212852434946,0.0,35.180456018886126,126.05749537856326,42.9480220507788,377.20652328926076,1122.6221283376512,337.19364699139174,8659.150909569673
t86,1200.6365763530905,240.0,1166.7,924.4987576410192,3693.0,0.0,0.0,0.0,2068.984828681145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.062159794048048,4.608478618944689,9.09323969107207,1.0515991479471103,5.567289606778819,10.299485772540814,36.898758338261835,12.55733100195667,96.74568036207327,423.1498218079815,87.16386043493493,21.06367523969402,15.939123377687928,9.806842892357267,3.640198908873296,19.296588390726406,35.695154349145916,127.90174612827629,43.57636169554149,380.9746092241351,1151.826273341392,341.59361375016454,12138.332054549788
