Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_moderate_0,NY_Z_A_battery_moderate_0,NY_Z_B_battery_moderate_0,NY_Z_C&E_battery_moderate_0,NY_Z_D_battery_moderate_0,NY_Z_F_battery_moderate_0,NY_Z_G-I_battery_moderate_0,NY_Z_J_battery_moderate_0,NY_Z_K_battery_moderate_0,PJM_EMAC_battery_moderate_0,PJM_Rest_battery_moderate_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
t291,249.80302554697892,1247.04,6222.302094082428,1290.34,1287.283825972767,-0.0,2740.25725689091,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1453.6000000000001,7826.086956521739,515.567411111852,1316.30694,0.0,25.929635746132046,682.2904,120.27153013503835,243.06792228465926,900.2428284125659,-0.0,-0.0,-0.0,-0.06942924643666741,-0.0,2.516115303057636,-0.0,-0.0,10.049961466580454,-0.0,-0.0,3.4709210081089523,2.6264855279482155,5.200557819196796,4.127821410095655,21.881461067109022,5.881929896292007,21.07594484621859,7.927564310563014,254.8860101562807,-0.0,354.37808308351646,26814.343253353603
t292,1705.2241180686913,1247.04,6222.302094082428,2580.68,1287.283825972767,-0.0,2740.25725689091,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2136.947504185222,7826.086956521739,404.0948629680544,1399.1828232935027,0.0,24.19084149226409,648.57056,121.41275506751917,252.62032228465927,948.9278052502382,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,16.08198273138226,-0.0,-0.0,4.877996848312782,3.6912358701158787,7.3088107139988425,0.8430095224433156,4.46876892479661,8.266404055026685,29.619917104100573,10.091560593908817,279.53251519014657,-0.0,69.18729956318663,29978.79122719541
t293,2292.405336426019,1247.04,6222.302094082428,3871.0199999999995,1287.283825972767,-0.0,2740.25725689091,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3590.5475041852224,7826.086956521739,380.73133752248526,1315.81996,0.0,22.39554,648.4896000000001,99.6798,309.13392228465926,997.5427853344648,1.4836440019480959,1.1278722259707463,2.225466002922143,0.326796063101133,1.3625302058706998,2.520680880860795,9.030547420020806,3.073262575463912,-0.0,-0.0,19.3867735790571,5.620259489042672,4.25291447912457,8.420959267978358,0.9712864553211321,5.148761209760568,9.524265241498478,34.12704545443861,11.627147567096658,-0.0,-0.0,79.12461375281273,33050.09074509299
t294,2397.736695224039,1247.04,6222.302094082428,4205.77238796636,1287.283825972767,-0.0,2740.25725689091,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4228.585140759304,7826.086956521739,397.21696541852896,1434.3103067064974,0.0,25.84780850773591,715.5244800000002,98.49902000000002,317.59952228465926,1046.0499169807129,3.1869573567347365,2.422737990578958,4.780436035102103,0.6222687879110604,2.926797572511492,5.41457550914626,19.398163911145613,6.6015545246648095,26.28656459191658,-0.0,41.05498423464843,8.529520677229439,6.454385613138381,12.779969739540073,1.474061459319852,7.813956862025627,14.454389067116992,51.792508944451875,17.645803682925994,52.106029611199745,-0.0,117.03974331531185,34592.8977868023
t295,3982.516695224039,1247.04,6373.452651354623,5496.11238796636,1287.283825972767,-0.0,3245.104725756839,-0.0,641.4168392694531,-0.0,3898.269041373132,859.1625691977895,-0.0,-0.0,5682.185140759304,7826.086956521739,501.81161601280144,1754.653863412995,0.0,34.54764701547182,849.6752000000002,120.02766000000001,373.0263222846593,1094.4753170266547,12.149475640193437,9.236080971371543,18.22421346029015,2.107562100849882,11.157681710381729,20.641711164206196,73.95063489158555,25.166770968972116,-0.0,-0.0,34.15343283063862,13.757031553469599,10.410102735930852,20.61246506249723,2.377473573837867,12.602918168111412,23.31309038423539,83.5347268322256,28.4604360829329,-0.0,-0.0,177.7737276039169,45846.47799488428
t296,5567.296695224039,1454.8799999999999,7383.814851354624,6766.488182363987,1287.283825972767,-0.0,4329.351340332277,-0.0,1282.8336785389063,-0.0,7796.538082746264,1718.325138395579,-0.0,-0.0,7135.785140759304,7826.086956521739,605.8832704386691,2276.8506301194925,0.0,48.495055523207725,1050.9417600000004,164.26572,380.4051222846592,1142.8710707096561,21.546999585187343,16.3801170315965,16.65125594967082,1.9256554499619325,19.788060843539398,18.860096024627158,-0.0,-0.0,-0.0,-0.0,-0.0,27.05199169012955,20.470550758806084,38.424345392590034,4.431923376748909,24.782529300018012,43.45866612151842,-0.0,-0.0,-0.0,-0.0,-0.0,58472.168712809565
t297,7152.076695224038,1454.8799999999999,7383.814851354624,8056.828182363987,1287.283825972767,-0.0,5413.597954907715,-0.0,1924.2505178083593,-0.0,10992.066086605571,2577.487707593368,-0.0,-0.0,8173.857589559716,7826.086956521739,709.4531475627655,2610.6367532415334,0.0,57.18856403094363,1187.3493602095778,185.62959999999998,380.40512228465917,1191.1099584355366,20.97336592100117,15.944038378720279,31.460048881501756,3.638236945479796,19.261254417245972,35.633320671905054,-0.0,-0.0,-0.0,-0.0,26.91541133706042,41.717961689330195,31.56845758706026,62.50694595397961,7.209647741612433,38.218132688547456,70.69654581581123,-0.0,-0.0,-0.0,-0.0,213.3676925101556,69183.11393421632
t298,7996.642385985941,1454.8799999999999,7383.814851354624,8081.3784424897085,1287.283825972767,-0.0,5649.819800127145,-0.0,2140.160857177009,-0.0,12541.44786841266,3436.650276791158,-0.0,-0.0,8173.857589559716,7826.086956521739,723.9497276190475,2742.082686363575,0.0,60.621842538679545,1256.479200419155,214.24312768399088,380.40512228465917,1239.327866927114,18.18564874401146,13.824804402335243,14.808792931830936,0.2382369454797959,1.261254417245972,30.89704608038681,-0.0,-0.0,-0.0,575.0189371614429,54.21243379378711,40.975699048600305,40.012830881242685,1.0192769090866278,6.578595804735897,34.87294475131844,94.53757214059661,-0.0,-0.0,-0.0,619.6594255691391,417.1740054700449,74552.40993327998
t299,8392.517396498437,1454.8799999999999,7383.814851354624,8081.3784424897085,1287.283825972767,-0.0,6561.185337426563,-0.0,2781.577696446462,-0.0,16439.71690978579,3907.29925203389,-0.0,-0.0,8173.857589559716,7826.086956521739,826.5341115069248,2671.188429485616,0.0,60.630704538679545,1258.2503206287327,219.9824753679818,356.9531222846592,1287.4671115366086,-0.0,6.319667848448134,-0.0,-0.0,-0.0,-0.0,-0.0,14.001574978609073,-0.0,-0.0,-0.0,16.07304583940447,40.012830881242685,-0.0,6.578595804735897,34.87294475131844,76.74037810218806,31.5460676632415,35.20171851513525,-0.0,1575.6655141212723,656.6129405948661,81464.22981253936
t300,8392.517396498437,1454.8799999999999,7383.814851354624,8081.3784424897085,1287.283825972767,-0.0,6561.185337426563,-0.0,2781.577696446462,-0.0,18259.086517786032,4612.649413453406,-0.0,-0.0,8173.857589559716,7826.086956521739,906.0006966523206,2739.4736770039035,0.0,55.37933653867955,1224.6924006287327,248.43124305197273,380.40512228465917,1335.5071748367618,6.376644289626186,-0.0,-0.0,-0.0,-0.0,-0.0,38.81294202818387,27.210338149977595,-0.0,-0.0,-0.0,37.039141445641164,34.267238142660204,-0.0,-0.0,27.91708303232501,76.74037810218806,158.8552958494338,78.57620825085647,-0.0,-0.0,872.8431353314949,83062.84608312888
t301,8842.579395310091,1454.8799999999999,7383.814851354624,8081.3784424897085,1287.283825972767,-0.0,6628.884073562415,-0.0,3422.9945357159154,-0.0,19773.30900630064,4612.649413453406,-0.0,-0.0,8173.857589559716,7826.086956521739,896.3939847299021,2827.9174647779037,0.0,55.381868538679555,1258.2503206287324,254.00583073596363,380.40512228465917,1383.4685742548322,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,66.50525161507304,-0.0,-0.0,-0.0,-0.0,37.039141445641164,23.37018020762677,-0.0,-0.0,14.72463595354839,-0.0,303.56013364714045,-0.0,-0.0,484.12042395832026,498.99174495275383,85971.8527679718
