Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3927330183468009,0.29855724353914964,0.5890995275202011,0.0,0.3606731801144089,0.6672453832116565,2.3904616882027216,0.8135183951469447,6.812167718285494,32.34095675795135,5.077218518777332,1.1213467490685525,0.848535878909257,1.6801386693258678,0.19378979052694784,1.0272740352205194,1.9002688197302648,6.808983028320622,2.319833123492492,21.98747433534236,63.021722220598384,16.10755868626802,166.75955676789934
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.037073503593219,1.5485915920172941,3.0556102553898286,0.3533698934804564,1.8707817890141805,3.4609463096762343,12.399125968299543,4.219652257443097,35.63979901399764,155.25064209187954,25.674314320825538,0.5752908564344615,0.4353291547851379,0.8619710315368693,0.09942107082676098,0.5270282006933154,0.9749056459711511,3.4932510225441544,1.190157090576663,11.37249437053989,37.82463730324314,8.056635478248069,310.9210282210162
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2729931936795085,2.4881427849910542,4.909489790519261,0.5677641254342004,3.005810075828119,5.560748640282021,19.92184122479415,6.77977161547898,58.13337565262475,270.1554705986598,39.54540706625316,2.2927295135164782,1.734934581536798,3.435247408674857,0.39622674478556585,2.100386433523485,3.885330215858461,13.92179212989284,4.743180352627211,45.85836072109846,131.43832242169736,30.794594065989042,654.9419193577455
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.158620751771567,9.243033122520222,18.237931127657347,2.109148497756292,11.166080282239191,20.657248522142506,74.00629875950754,25.18571441438396,215.19878956088135,932.5602399890203,140.5778142642608,6.3126866005981634,4.776881974613712,9.458438144855974,1.090950872251025,5.78309879853456,10.697673601684807,38.33156511336367,13.059635198888484,125.76957389852295,357.4025154366704,81.20135006941277,2114.9852890015377
t32,1830.0,240.0,1166.7,0.0,3693.0,2054.1118677166933,0.0,-0.0,-0.0,-0.0,-0.0,1321.8423260888308,-0.0,-0.0,0.0,1287.341160297614,16.382131298395592,12.45376307888236,24.57319694759338,2.8417982864563776,15.044814457710231,27.832906746763932,99.71368693360172,33.93441483239086,281.68351417420996,1197.5393396010163,201.46757327539873,12.624924384590337,9.553424324580945,18.916203817850956,2.1818241805583973,11.56578643286296,21.394586624893023,76.66040494602757,26.118341889597126,246.65780778910738,667.8303110623433,172.7070605557715,14772.673169743743
t33,1830.0,240.0,1166.7,1490.0,3693.0,708.9630041022501,-0.0,-0.0,-0.0,113.363738904917,0.0,1126.553301994616,-0.0,-0.0,1831.3340526739023,13301.092396998894,12.354681738935197,9.39207948521094,18.53202260840279,2.143159077162228,11.346136290858851,20.990352138088877,75.1996699721923,25.59184074493719,204.79577669745416,905.3441450822245,160.528902894653,14.693573118883561,11.118794423853167,22.015706032152718,2.5393255557802132,13.460890810252394,24.90018263434966,89.22154549872417,30.397945730844686,277.02304298783844,770.107157632801,212.2143763020043,28414.917802132182
t34,1830.0,240.0,1166.7,1490.0,3693.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,1457.5967043888186,202.91171353415368,0.0,4891.825369679159,17637.922209847235,7.059429892854479,5.366607418547537,10.589144839281717,1.2245949814135322,2.4010511434166943,11.993827317961944,42.968876847833634,14.623104778055703,114.46092720541282,523.6252194189291,51.22523660727188,14.000518254172915,10.594351900389237,20.72906370251455,2.4195526513084067,10.136399845548077,23.725710464286315,85.01321402995264,28.96415940838121,258.15172141236616,585.8472341624474,159.81142332362333,34594.887367055344
t35,1830.0,240.0,1166.7,1490.0,3693.0,945.2622945880678,-0.0,-0.0,-0.0,0.0,3294.587537558915,493.298761297475,0.0,205.86262851852305,7576.893568435518,13826.412617528156,7.848709050948823,5.966620656078441,11.773063576423231,1.3615107537360203,7.207998108014225,13.334796499826314,47.77300968256095,16.25804017696542,125.50272461543189,540.116173072701,103.77828722267641,15.999011204602255,4.143790970663627,23.971672828372164,2.7649297887148196,14.656812278041663,27.112418316523957,48.631523153203204,18.097739660697826,290.61583832162785,813.4320177416334,235.01300612116097,37137.377101727245
t36,1830.0,240.0,1166.7,1490.0,3693.0,654.7061008321788,0.0,0.0,-0.0,65.29212937647014,1266.3889789091443,1687.9948137704755,0.0,209.19165124930362,8120.67715492179,18003.854203742474,7.073049328113505,5.376960968820979,10.609573992170255,1.2269575365094854,6.495657546226687,12.016966460519372,43.05177473693576,14.65131646537797,111.29099672451144,487.66020104402367,95.35505973412653,19.64548542301524,14.86596296271791,29.435265910658746,2.7313299097055044,17.997374229809267,13.529081625782652,119.29028816424861,40.64242202445939,350.99766036765584,980.2241977869314,294.2172053872667,41106.18982113142
t37,1830.0,240.0,1166.7,1490.0,3693.0,1593.2393177233625,0.0,0.0,-0.0,0.0,3282.4886465527647,2279.4682258520183,202.91171353415368,0.0,6788.6624343743215,15560.446121934063,5.395553693754343,4.101721940660188,8.093330540631513,0.9359633958553452,4.955100330998885,-0.0,-0.0,11.176504079919708,84.65066349300389,379.56384595735926,74.47023992708095,6.119424382948765,16.906683863029347,0.0,3.861171702643066,20.467958734399165,0.0,0.0,46.22159911998932,396.972681999233,1123.5193849254142,146.08535485788525,40460.413642915504
