Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11
,,,,,,,,16,13994.888666005805,1185.77284966219,897.3975877201243,1778.6131469179395,202.7195918404839,1098.806898150957,1959.210306367678,7466.9299072183685,2330.781804839882,18428.08120263881,71746.95582121014
,,,,,,,,17,14312.061838880963,1202.9141238494838,910.505642372216,1803.820249340246,205.74525739034186,1113.9280939970713,1987.4584467272532,7570.707235573987,2365.1025416803136,19662.671864490472,74627.1046608398
,,,,,,,,18,15744.879061107473,1267.4459796134124,958.9046133953238,1900.6155226419025,216.83936440648776,1173.4047976584534,2095.4066973870586,7971.710892715117,2494.3100215501727,21692.08069753422,80383.42148475756
,,,,,,,,19,16895.76457411162,1378.360106707665,1043.6028126857625,2067.990682726017,236.00191288892157,1276.2289294120292,2279.019609724297,8672.963519273473,2712.34764383056,21655.76920747976,81911.07472208705
,,,,,,,,20,16558.453422006292,1376.3434862150423,1042.5945007894477,2064.96583043534,236.00191288892157,1275.2208496889548,2274.9841611015004,8667.925784887278,2707.300476648144,21152.451609224874,80789.46872959824
,,,,,,,,21,16100.314394519954,1354.1606607961917,1024.4448866557823,2030.6841711410034,231.9676921557776,1254.0511755043951,2237.656261340633,8521.831487687621,2661.8759720063963,20615.848478420066,79306.60011486147
,,,,,,,,22,15465.968048769635,1312.819940697425,994.19552976634,1970.187125327468,224.90780587277567,1216.752225750647,2171.071359064492,8265.91458086891,2583.140163960701,19687.888177028293,76971.82845702762
,,,,,,,,23,14451.013895569129,1253.329636165053,948.8214944321763,1879.441556607165,214.82225403991578,1160.2997612584877,2072.2028678059787,7885.061861272561,2467.0553187651244,18272.748717405837,73357.21180687731
,,,,,,,,24,13229.645455259391,1164.598334489651,881.2645973790883,1746.3480558173874,199.69392629062594,1078.6453036894718,1925.9178552296073,7322.850703773189,2293.432767690001,16914.0937978681,69670.93976057867
,,,,,,,,25,11435.351505851351,1008.3102463113862,763.292105510263,1512.426145338384,172.46293634190422,934.4899032898508,1664.6225569035369,6360.643436009926,1977.480102070736,13922.430478381142,54125.69965172744
,,,,,,,,26,10696.287668104156,939.745149562212,711.868198798211,1409.5811674553738,161.36882932575833,870.9808807361716,1551.6299954652363,5926.390731919909,1844.2348884549435,13481.64933522005,52461.702118949
,,,,,,,,27,10319.7074565,900.4210499560679,681.6188419087686,1351.100689835623,154.3089430427564,834.6900107054977,1487.062817500493,5678.53420011911,1767.5179472822147,13301.10053744926,51655.57891228002
,,,,,,,,28,10162.631218504683,879.2465347835288,665.4858515677327,1318.8355987350708,150.27472230961246,814.5284162440123,1452.7615042067232,5539.492731060125,1727.1406098228838,13348.50720502036,51734.20080527613
,,,,,,,,29,10175.720905004293,871.1800528130377,659.4359801898441,1307.744473669256,149.26616712632645,807.4718581824924,1439.6462961826346,5489.115387198174,1713.008541712118,13691.449055534711,52375.118515269736
