Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_advanced_0,NY_Z_A_battery_advanced_0,NY_Z_B_battery_advanced_0,NY_Z_C&E_battery_advanced_0,NY_Z_D_battery_advanced_0,NY_Z_F_battery_advanced_0,NY_Z_G-I_battery_advanced_0,NY_Z_J_battery_advanced_0,NY_Z_K_battery_advanced_0,PJM_EMAC_battery_advanced_0,PJM_Rest_battery_advanced_0,Total
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-897.9860458489701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-897.9860458489701
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-753.7105004377688,0.0,0.0,0.0,-281.87850951029446,0.0,0.0,0.0,-1035.5890099480632
t49,-0.0,-145.44806024326897,-1166.7,-1490.0,-2064.299152169194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4866.447212412462
t50,0.0,-240.0,-1166.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-6114.327379900019,-7521.027379900019
t51,0.0,-240.0,-1166.7,0.0,-3693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2431.4159229432344,-7531.115922943234
t52,0.0,0.0,-1166.7,0.0,-2658.1351504475533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1653.7613079477894,-5478.596458395343
t53,0.0,0.0,0.0,-496.78322461584406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4980.328629784035,-5477.111854399879
t54,0.0,-174.83674316026242,0.0,0.0,-881.8917058010583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1056.7284489613207
t55,0.0,-197.06406662514422,-444.2205796333893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-226.06100837851915,-867.3456546370527
t56,0.0,0.0,178.89551134938836,1490.0,3693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,5361.8955113493885
