Constraint,CapRes_1,CapRes_2,CapRes_3
t298,-0.0,-0.0,0.0
t299,-0.0,-0.0,0.0
t300,12.343176859576849,-0.0,0.0
t301,12.343176859576849,-0.0,0.0
t302,12.343176859576849,-0.0,0.0
t303,13.124823620081173,-0.0,-0.0
t304,40.04674073821003,-0.0,0.0
t305,40.04674073821003,-0.0,-0.0
t306,53.39878704645342,-0.0,-0.0
t307,164.51085718380932,12.88480774836335,2.2962889264749777
t308,301.57357756277014,139.84836539798482,2.296288926474977
t309,601.3909375777148,590.7098782502778,587.769834288834
t310,220.6409619170703,191.42502406848024,190.8104319028777
t311,164.51085718380932,40.230554073770065,-0.0
t312,155.28139348999824,40.22943811691889,1.796711650950976e-15
t313,590.9436,590.767441405032,565.9585601504252
t314,378.6197503044239,378.1336994582527,326.4447881206972
t315,371.0772817761174,370.9011231811492,261.06863346005616
t316,291.6237466365677,291.4475880415996,261.06863346005616
t317,291.6237466365677,286.1152750390035,261.06863346005616
t318,291.6237466365677,286.1152750390035,261.06863346005616
t319,207.28497974941214,207.28497974941214,261.06863346005616
t320,190.34707622645354,190.34707622645354,190.34707622645354
t321,203.3933873808277,190.34707622645354,190.34707622645354
t322,207.28497974941214,190.34707622645354,190.34707622645354
t323,207.28497974941214,190.34707622645354,190.34707622645354
t324,207.28497974941214,190.34707622645354,190.34707622645354
t325,207.28497974941214,190.34707622645354,190.34707622645354
t326,207.28497974941214,190.34707622645354,190.34707622645354
t327,207.28497974941214,190.34707622645354,190.34707622645354
t328,284.67261162503127,190.34707622645354,272.42834453205614
t329,342.9270238757924,231.50454110533013,432.63578917304875
t330,602.9999999999999,568.0480530105264,590.9436
t331,605.7735565702926,604.7101643836945,591.7825308468525
t332,609.687734795468,592.5781381903095,591.7825308468524
t333,609.6819178365301,592.2901915767527,591.7825308468524
t334,597.146745015782,592.5688243895706,575.0039139098022
t335,593.3278518996427,592.5388885967019,572.2000883311833
t336,593.0826092018715,592.5965583557002,567.6591624257999
t337,0.0,0.0,0.0
t338,0.0,0.0,0.0
t339,0.0,0.0,0.0
t340,0.0,0.0,0.0
t341,0.0,0.0,0.0
t342,0.0,0.0,0.0
t343,0.0,-0.0,0.0
t344,0.0,-0.0,0.0
t345,0.0,0.0,0.0
t346,0.0,0.0,0.0
t347,0.0,3.054837266515183e-17,0.0
t348,0.0,0.0,0.0
t349,0.0,0.0,0.0
t350,0.0,0.0,0.0
t351,0.0,0.0,-0.0
t352,0.0,-0.0,-0.0
t353,0.0,0.0,2.2962889264749755
t354,0.0,-0.0,2.296288926474977
t355,0.3444433389712467,0.3444433389712467,-1.7674385822852711e-15
t356,0.3444433389712467,0.3444433389712467,-2.136970633864963e-15
t357,0.3444433389712467,0.3444433389712467,-1.7674385822852711e-15
t358,0.3444433389712467,0.3444433389712467,-1.7674385822852711e-15
t359,0.34141223758829975,0.0,0.0
t360,0.0,0.0,0.0
t361,0.0,0.0,0.0
t362,0.0,0.0,0.0
t363,0.0,0.0,0.0
t364,0.0,0.0,0.0
t365,0.0,0.0,0.0
t366,0.0,0.0,0.0
t367,0.0,0.0,0.0
t368,0.0,0.0,0.0
t369,0.0,0.0,0.0
t370,0.0,0.0,0.0
t371,0.0,0.0,0.0
t372,0.0,0.0,0.0
t373,0.0,0.0,0.0
t374,0.0,0.0,0.0
t375,0.0,0.0,0.0
t376,0.0,0.0,0.0
t377,0.0,0.0,0.0
t378,0.0,0.0,0.0
t379,0.343951378004358,0.0,0.0
t380,0.343951378004358,0.0,0.0
t381,0.343951378004358,0.0,0.0
t382,0.34141223758829964,0.0,0.0
t383,0.34141223758829964,0.0,0.0
t384,0.0,0.0,0.0
t385,0.0,0.0,0.0
t386,0.0,0.0,0.0
t387,0.0,0.0,0.0
t388,0.0,0.0,0.0
t389,0.0,0.0,0.0
t390,0.0,0.0,0.0
t391,0.0,-0.0,0.0
t392,0.0,-0.0,0.0
t393,0.0,0.0,0.0
t394,0.0,0.0,0.0
t395,0.0,0.0,0.0
t396,0.0,0.0,0.0
t397,0.0,0.0,0.0
t398,0.0,0.0,0.0
t399,0.0,0.0,0.0
t400,0.0,0.0,0.0
t401,0.0,0.0,0.0
t402,0.0,-0.0,0.0
t403,-0.0,0.34191168042980796,0.0
t404,-0.0,0.3400689085663118,0.0
t405,0.0,0.3380194706994329,0.0
t406,-0.0,0.0,0.0
t407,0.0,0.0,0.0
t408,0.0,0.0,0.0
t409,-0.0,0.0,0.0
t410,-0.0,0.0,0.0
t411,-0.0,0.0,0.0
t412,-0.0,0.0,0.0
t413,-0.0,0.0,0.0
t414,0.0,0.0,0.0
t415,-0.0,0.0,0.0
t416,2.456222694889328,2.456222694889328,0.0
t417,2.456222694889328,-0.0,0.0
t418,2.456222694889328,-0.0,0.0
t419,2.4773153086057635,-0.0,0.0
t420,2.4773153086057635,-0.0,0.0
t421,2.4773153086057635,-0.0,0.0
t422,2.4562226948893278,-0.0,0.0
t423,2.4562226948893278,-0.0,0.0
t424,2.456222694889328,-0.0,0.0
t425,2.456222694889328,-0.0,0.0
t426,0.13536794158590634,-0.0,0.0
t427,0.13536794158590634,0.0,0.0
t428,0.13536794158590632,0.0,0.0
t429,0.13536794158590632,0.0,0.0
t430,0.13536794158590584,0.0,0.0
t431,0.13536794158590632,0.0,0.0
t432,0.13536794158590632,0.0,0.0
t433,0.0,0.0,0.0
t434,0.0,0.0,0.0
t435,0.0,0.0,0.0
t436,2.301352990316114e-15,0.0,0.0
t437,0.0,0.0,0.0
t438,0.0,0.0,0.0
t439,0.0,0.0,0.0
t440,2.4562226948893313,0.0,0.0
t441,0.0,-0.0,0.0
t442,-0.0,-0.0,0.0
t443,0.0,-0.0,0.0
t444,0.0,-0.0,0.0
t445,0.0,-0.0,0.0
t446,0.0,-0.0,0.0
t447,0.0,-0.0,0.0
t448,-0.0,-0.0,0.0
t449,0.0,-0.0,0.0
t450,-0.0,0.0,0.0
t451,-0.0,0.0,0.0
t452,1.03869206961174e-15,0.0,0.0
t453,-6.573027387099162e-16,0.0,0.0
t454,0.0,0.0,0.0
t455,0.0,0.0,0.0
t456,0.0,0.0,0.0
t457,0.0,0.0,0.0
t458,0.0,0.0,0.0
t459,0.0,0.0,0.0
t460,0.0,0.0,0.0
t461,0.0,0.0,0.0
t462,0.0,0.0,0.0
t463,0.0,0.0,0.0
t464,-0.0,-0.0,0.0
t465,0.0,0.0,0.0
t466,0.0,0.0,0.0
t467,0.0,0.0,0.0
t468,0.0,0.0,0.0
t469,0.0,0.0,0.0
t470,0.0,0.0,0.0
t471,0.0,0.0,0.0
t472,0.0,0.0,0.0
t473,0.0,-0.0,0.0
t474,0.0,0.0,0.0
t475,0.3444433389712466,0.34444333897124657,0.0
t476,0.3444433389712466,0.34444333897124657,0.0
t477,0.3444433389712466,0.3444433389712466,0.0
t478,0.34444333897124657,0.34444333897124657,0.0
t479,0.0,0.0,0.0
t480,0.0,0.0,0.0
t481,25.641878327669883,25.03618125228999,0.0
t482,25.40104195320554,24.924272448599254,0.0
t483,25.296333346221065,24.819563841615206,0.0
t484,25.296333346221065,24.819563841614997,0.0
t485,25.296333346221065,24.819563841614993,0.0
t486,25.301947236630728,24.701731753329707,-1.953446527343323e-15
t487,25.52812363166898,25.04664157894736,-1.953446527343323e-15
t488,36.18664600801845,25.04664157894736,2.456222694889328
t489,28.836657234652794,14.171878251023609,14.171878251023609
t490,28.836657234652794,-0.0,0.0
t491,28.836657234652794,-0.0,0.0
t492,0.0,-0.0,0.0
t493,-0.0,0.0,0.0
t494,-0.0,-0.0,0.0
t495,28.836657234652794,-0.0,0.0
t496,28.836657234652794,-0.0,0.0
t497,25.760184744199947,16.941820184612624,0.0
t498,25.760184744199947,25.046641578947362,0.0
t499,25.760184744199947,25.046641578947362,-0.0
t500,25.760184744199947,25.046641578947362,0.0
t501,25.760184744199947,25.046641578947362,0.0
t502,25.76018474419995,25.046641578947362,0.0
