Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11
,,,,,,,,13,13755.316137812853,1145.1902001174699,866.7633277020025,1717.7603185958087,196.49621871056766,1061.068801933221,1891.332909813269,7214.532127253892,2249.7724734717044,17468.09346553931,69508.94825983648
,,,,,,,,14,13730.626095922751,1155.0625294288272,874.660943444162,1732.5685972043932,197.48363689504288,1069.9521686470807,1907.13516911197,7276.692346621643,2267.5572361078443,17508.412771517305,69258.99970864289
,,,,,,,,15,13653.593165225639,1156.049762359963,875.6481454119319,1734.5430343522046,198.4710550795181,1070.939209393065,1909.1104515243076,7284.585707811199,2270.521363213868,17624.453700917387,69119.49354053484
,,,,,,,,16,13726.675689220336,1160.985927015642,878.6097513152417,1741.453564369544,198.4710550795181,1075.8744131229869,1917.999222379827,7312.212471974644,2281.3898292692866,17966.676102876947,69842.21299476127
,,,,,,,,17,14037.770217035604,1177.7688868449495,891.4433768962509,1766.134028717185,201.43330963294372,1090.680024312753,1945.6531761525534,7413.839497290173,2314.983269804218,19170.354895976092,72645.89945659947
,,,,,,,,18,15443.12740142013,1240.9517944376375,938.8290713492078,1860.907011812126,212.29490966217108,1148.915428325832,2051.3307852126163,7806.534216470569,2441.4526929945464,21148.951082018153,78249.39720893952
,,,,,,,,19,16571.95611663553,1349.5474168625701,1021.7540366418822,2024.7852950804618,231.05585516720015,1249.59358441624,2231.0814847353395,8493.256639961914,2654.869844628226,21113.548764574058,79736.49420925799
,,,,,,,,20,16241.109555308181,1347.5729510002984,1020.7668346741123,2021.823639358745,231.05585516720015,1248.6065436702556,2227.130919910664,8488.32328921844,2649.9296327848538,20622.833308890666,78644.66468524568
,,,,,,,,21,15791.750792908351,1325.853826515312,1002.9971992542535,1988.2582078459532,227.1061824292993,1227.8786880045834,2190.588195282418,8345.256117657744,2605.467726194504,20099.66572888352,77201.16336246097
,,,,,,,,22,15169.561737277816,1285.3772763387462,973.3811402211554,1929.025093411615,220.1942551379728,1191.3581804031608,2125.4038756752766,8094.6418998893505,2528.4004214378974,19194.9398386456,74928.37537370063
,,,,,,,,23,14174.059248268959,1227.130533401737,928.9570516715083,1840.1754217601076,210.32007329322064,1136.0838986280348,2028.6150374707336,7721.680583682845,2414.7755490403365,17815.232856032773,71409.71980030868
,,,,,,,,24,12976.098415761277,1140.254035461791,862.8145198309228,1709.8625700045636,195.50880052609244,1056.1335982032992,1885.4070625762563,7171.118640711336,2244.832261628332,16490.596144999647,67821.3111428627
,,,,,,,,25,11216.192229834905,987.2329311357498,747.3118896018404,1480.8278608584558,168.84850954526166,914.9867715275311,1629.6079901785347,6228.848648708126,1935.575000233232,13573.838546689136,52688.76707447549
,,,,,,,,26,10491.292599941551,920.1010918185189,696.9645892455737,1380.1315663200808,157.9869095160343,852.8032045305144,1518.992175087628,5803.593814620815,1805.1534075682057,13144.093748826124,51068.94545588756
,,,,,,,,27,10121.929573265646,881.5990075042246,667.3485302124757,1322.8728890335537,151.07498222470778,817.2697376750764,1455.7831378928242,5560.872958041978,1730.062187548948,12968.065559312441,50284.223260279774
,,,,,,,,28,9967.86371187142,860.8671159503739,651.5532987281567,1291.2818946685734,147.12530948680694,797.5289227553885,1422.2033368830848,5424.712477522142,1690.5404928019705,13014.285251531119,50360.757894172384
,,,,,,,,29,9980.702533654272,852.9692525012879,645.6300869215372,1280.4224903556114,146.13789130233172,790.6196375334978,1409.3640012028902,5375.378970087419,1676.7078996405282,13348.640471836436,50984.66047932228
