Resource,NENG_Rest_hydroelectric_pumped_storage_1,NY_Z_A_hydroelectric_pumped_storage_1,NY_Z_F_hydroelectric_pumped_storage_1,PJM_EMAC_hydroelectric_pumped_storage_1,PJM_Rest_hydroelectric_pumped_storage_1,NENG_Rest_battery_moderate_0,NY_Z_A_battery_moderate_0,NY_Z_B_battery_moderate_0,NY_Z_C&E_battery_moderate_0,NY_Z_D_battery_moderate_0,NY_Z_F_battery_moderate_0,NY_Z_G-I_battery_moderate_0,NY_Z_J_battery_moderate_0,NY_Z_K_battery_moderate_0,PJM_EMAC_battery_moderate_0,PJM_Rest_battery_moderate_0,NENG_Rest_conventional_hydroelectric_1,NY_Z_A_conventional_hydroelectric_1,NY_Z_B_conventional_hydroelectric_1,NY_Z_C&E_conventional_hydroelectric_1,NY_Z_D_conventional_hydroelectric_1,NY_Z_F_conventional_hydroelectric_1,PJM_EMAC_conventional_hydroelectric_1,PJM_Rest_conventional_hydroelectric_1,NY_Z_A_res_water_heat_1,NY_Z_B_res_water_heat_1,NY_Z_C&E_res_water_heat_1,NY_Z_D_res_water_heat_1,NY_Z_F_res_water_heat_1,NY_Z_G-I_res_water_heat_1,NY_Z_J_res_water_heat_1,NY_Z_K_res_water_heat_1,PJM_EMAC_res_water_heat_1,PJM_Rest_res_water_heat_1,NENG_Rest_res_water_heat_1,NY_Z_A_trans_light_duty_1,NY_Z_B_trans_light_duty_1,NY_Z_C&E_trans_light_duty_1,NY_Z_D_trans_light_duty_1,NY_Z_F_trans_light_duty_1,NY_Z_G-I_trans_light_duty_1,NY_Z_J_trans_light_duty_1,NY_Z_K_trans_light_duty_1,PJM_EMAC_trans_light_duty_1,PJM_Rest_trans_light_duty_1,NENG_Rest_trans_light_duty_1,Total
t82,17402.354802368354,2057.279999999999,10390.53929884024,15352.96,34854.53400000001,-0.0,875.637399921661,456.63632882499087,4766.618018751813,-0.0,-0.0,1292.2520694465222,-0.0,-4.942905987896349e-13,744.9836821648131,1324.8,1022.8652723294106,1983.22605,0.0,22.75635,818.18176,170.41676,368.821124948398,215.7170067059629,23.498557358560163,17.863699216456446,35.24783603784024,4.076280358117579,21.580307778269535,39.92356938979864,92.11244270781187,23.686388785948097,366.4254538280736,1693.6441773297702,11.50851371790668,38.80481874669658,11.920357004779156,-0.0,8.136928574080795,43.07319197387906,16.242868522887285,272.3813268694644,80.27909650113573,866.7026030941078,637.005918706971,308.3221378467948,98733.01639865153
t83,18987.134802368353,2265.119999999999,11400.90149884024,16643.3,38052.672000000006,-0.0,1530.6238269972587,913.2726576499817,7886.052929992843,-0.0,-0.0,1342.5845286214674,-0.0,-0.0,744.9836821648131,2517.330001744039,1022.8652723294108,2259.6478852692976,0.0,31.017,952.5753600000002,216.00036,367.386649896796,487.2745822878925,12.063748979136944,9.170911213731653,16.21470998052129,2.092691149442123,11.078953144105355,20.496063316594906,22.511797826934824,-0.0,163.3124498148866,853.2713343994672,-0.0,53.614052527109045,23.126673170829527,-0.0,7.992328303544143,49.11622932852608,41.33905328499566,362.30518098240515,87.14987064711413,1089.2081960614403,1422.8398628665418,532.3023921679817,112399.9495373277
t84,20571.914802368352,2472.959999999999,12411.26369884024,17933.64,41250.810000000005,-0.0,2102.062555369996,1369.9089864749726,10244.543715206419,0.0,-0.0,1988.7105633447286,-0.0,-0.0,744.9836821648131,2527.1214007412304,1022.8652723294108,1760.1511578355298,0.0,44.531549999999996,763.1746651727177,241.4062727046214,363.4548250208583,758.832157869822,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,123.03669409103202,71.65793307974742,36.780683454789106,27.03554586158737,11.110649942674602,65.64636151265452,71.91677032889626,325.55244311343563,124.47890541456903,1291.5795708136825,2358.6936718260476,-0.0,123079.82453488285
t85,22156.69480236835,2680.7999999999993,13421.625898840239,19223.98,44448.948000000004,-0.0,2829.736186239416,1826.5453152999635,12881.56124447561,-0.0,-0.0,2634.8365980679896,-0.0,-0.0,744.9836821648131,3851.92140074123,1022.8652723294108,2036.5729931048274,0.0,63.3,973.3468251727179,244.02038540924278,406.99900014492067,1030.3897334517515,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,475.27634435905094,95.7856738170224,42.01926965247244,31.79646076051185,57.98470624753425,11.413964321079735,29.969364391408156,106.9208599031475,233.93177190392078,43.91162070669949,1105.4874439048508,-0.0,318.56193185593776,135032.18674963416
t86,23741.47480236835,2888.6399999999994,14431.988098840238,20514.32,47647.086,-0.0,3993.757378908775,1928.8929209912271,15134.223937033677,-0.0,-0.0,3280.9626327912506,-0.0,-0.0,1330.5011579434783,2286.704009436882,1022.8652723294108,2110.898128374125,0.0,63.3,1116.322185172718,269.42629811386416,498.019175268983,774.5555418790605,-0.0,-0.0,9.726098866001642,1.1247869436872648,5.954754407756108,11.016295654348799,-0.0,-0.0,-0.0,443.62842376707357,187.31473846922404,63.09389356660982,47.743869125068834,5.234978112386855,15.056055366643747,32.58907071752234,106.9208599031475,361.9,43.91162070669949,1476.8866578738264,1100.9761478087728,642.7928552183164,147589.80864595916
t87,25326.25480236835,3096.4799999999996,15442.350298840238,21804.66,50845.224,-0.0,4963.1542018740065,2002.2695150762956,17385.65029683106,-0.0,-0.0,3927.0886675145125,-0.0,-0.0,1580.0,3611.5040094368824,1022.8652723294108,2387.319963643423,0.0,63.3,1192.1007451727182,269.426298113864,541.5633503930455,1046.11311746099,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,836.4884029383245,-0.0,87.12047571378324,65.92505796462456,41.234538275853055,4.756055366643746,-0.0,46.63704777000178,-0.0,93.61762035009684,358.165280646445,2335.799841300528,37.72495967034456,160414.7938190514
t88,26911.034802368347,3304.3199999999997,16452.71249884024,23095.0,54043.362,-0.0,5226.234370653198,2458.9058439012865,19168.48441105668,-0.0,-0.0,3927.0886675145125,-0.0,-0.0,1580.0,4936.304009436883,977.7875707076214,2791.513363643423,0.0,63.3,1192.1007451727182,269.426298113864,541.5633503930455,1306.570698923471,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,59.6,45.1,-0.0,-0.0,-0.0,-0.0,-0.0,36.68348183483724,-0.0,461.5372085646327,-0.0,168848.62932112475
t89,28365.0,3512.16,17463.07469884024,23002.94342763342,57241.5,-0.0,5226.234370653198,2458.9058439012865,19168.48441105668,-0.0,-0.0,3927.0886675145125,-0.0,-0.0,1580.0,4936.304009436883,1022.8652723294108,2993.610063643423,0.0,63.3,1133.485705172718,269.426298113864,541.5633503930455,1441.8808803859517,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,174347.82699907463
t90,26251.836027713627,3720.0,18083.8,21282.3891551161,57241.5,-0.0,5226.234370653198,2458.9058439012865,19168.48441105668,-0.0,-0.0,3927.0886675145125,-0.0,-0.0,271.5594868267341,4936.304009436883,1022.8652723294108,2993.6100636434226,0.0,63.3,1074.870665172718,269.426298113864,541.5633503930455,1452.0436618484325,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,111.08251049774907,483.74336713391733,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,117.45951106925926,758.6391538863577,-0.0,171456.7058263072
t91,24138.672055427254,3442.8637413394918,16736.571362586605,19561.834882598778,52977.06581986143,0.0,5206.226307397919,1919.401674684615,15324.892204319454,-0.0,-0.0,3163.707246527673,-0.0,-0.0,271.5594868267341,4936.304009436883,934.2544723294108,2791.563106821711,0.0,58.046099999999996,1016.255625172718,246.81118696668094,494.0873503930454,1372.6741525536813,11.741357211566896,8.925827676140138,17.61203581735034,2.036766046904461,10.782879071847146,19.948326282917222,71.4665262928536,24.321382795388566,185.04680230953807,-0.0,158.78374391989578,36.77901160074408,27.831097704589897,55.10680765010815,6.356104353819866,33.693524050346085,62.326848518039455,223.32758889780666,76.0881229928145,661.0216646346831,1955.3128356933812,542.2166301040473,158783.5166688689
