Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Total
t89,-0.0,28.16,30.12,39.519999999999996,11.560905142445588,25.4,24.7,42.156061886974456,32.824999999999996,54.18,56.323,77.84,58.74,20.898,1.68,19.404,19.62,543.1269670294201
t90,-0.0,28.16,30.12,39.519999999999996,11.560905142445588,25.4,24.7,42.15606188697446,32.824999999999996,54.18,56.323,77.84,58.74,20.897999999999996,1.68,19.404,-0.0,523.5069670294201
t91,-0.0,28.16,30.12,39.52,11.560905142445588,25.4,24.7,42.156061886974456,32.824999999999996,54.18,56.323,77.84,58.74,20.898,1.68,19.404,-0.0,523.5069670294201
t92,-0.0,28.16,30.12,39.519999999999996,11.560905142445588,25.4,24.7,42.156061886974456,32.824999999999996,54.18,56.323,77.84,58.74,20.898,1.68,19.404,-0.0,523.5069670294201
t93,-0.0,28.16,30.12,39.519999999999996,11.560905142445588,25.4,24.7,42.156061886974456,32.824999999999996,54.18,56.323,77.84,58.74,20.898,1.68,19.404,-0.0,523.5069670294201
t94,-0.0,28.16,30.12,39.519999999999996,11.560905142445588,25.4,24.7,42.156061886974456,32.824999999999996,54.18,56.323,77.84,58.74,20.898,1.68,19.404,-0.0,523.5069670294201
t95,-0.0,28.16,30.12,39.519999999999996,11.560905142445588,25.4,24.7,42.15606188697446,32.824999999999996,54.18,56.323,77.84,58.74,20.89799999999991,1.68,19.404,-0.0,523.50696702942
t96,-0.0,28.16,30.12,39.519999999999996,11.560905142445591,25.4,24.7,42.156061886974456,32.824999999999996,54.18,56.323,77.84,58.74,20.89799999999991,1.68,19.404,-0.0,523.50696702942
t97,-0.0,28.16,30.12,39.519999999999996,11.560905142445588,25.4,24.7,42.156061886974456,32.824999999999996,54.18,56.323,77.84,58.74,20.898,1.68,19.404,19.62,543.1269670294201
t98,-0.0,28.16,30.12,39.519999999999996,11.560905142445588,25.4,24.7,42.156061886974456,32.824999999999996,54.18,56.323,77.84,58.74,20.898,1.68,19.404,19.62,543.1269670294201
t99,-0.0,28.16,30.12,39.519999999999996,11.560905142445588,25.4,24.7,42.156061886974456,32.824999999999996,54.18,56.323,77.84,58.74,20.898,1.68,19.404,19.62,543.1269670294201
t100,-0.0,28.16,30.12,39.519999999999996,11.560905142445588,25.4,24.7,42.156061886974456,32.824999999999996,54.18,56.323,77.84,58.74,20.898,1.68,19.404,19.62,543.1269670294201
t101,-0.0,28.16,30.12,39.519999999999996,11.560905142445588,25.4,24.7,42.156061886974456,32.824999999999996,54.18,56.323,77.84,58.74,20.89800000000014,1.68,19.404,19.62,543.1269670294203
t102,-0.0,28.16,30.12,39.519999999999996,11.560905142445588,25.4,24.7,42.156061886974456,32.824999999999996,54.18,56.323,77.84,58.74,20.89800000000014,1.68,19.404,19.62,543.1269670294203
t103,-0.0,28.16,30.12,39.519999999999996,11.560905142445588,25.4,24.7,42.156061886974456,32.824999999999996,54.18,56.323,77.84,58.74,20.898,1.68,19.404,19.62,543.1269670294201
t104,-0.0,28.16,30.12,39.519999999999996,11.560905142445588,25.4,24.7,42.156061886974385,32.824999999999996,54.18,56.323,77.84,58.74,20.89800000000014,1.68,19.404,19.62,543.1269670294201
t105,-0.0,28.16,30.12,39.519999999999996,11.560905142445588,25.4,24.7,42.156061886974385,32.824999999999996,54.18,56.323,77.84,58.74,20.898,1.68,19.404,19.62,543.12696702942
t106,-0.0,28.16,30.12,39.519999999999996,11.560905142445588,25.4,24.7,42.156061886974385,32.824999999999996,54.18,56.323,77.84,58.74,20.898,1.68,19.404,19.62,543.12696702942
t107,-0.0,28.16,30.12,39.51999999999998,11.560905142445588,25.4,24.7,42.156061886974456,32.824999999999996,54.18,56.323,77.84,58.74,20.898,1.68,19.404,19.62,543.1269670294201
t108,-0.0,28.16,30.12,39.519999999999996,11.560905142445588,25.4,24.7,42.15606188697446,32.824999999999996,54.18,56.323,77.84,58.74,20.898,1.68,19.404,19.62,543.1269670294201
t109,-0.0,28.16,30.12,39.519999999999996,11.560905142445588,25.4,24.7,42.156061886974385,32.824999999999996,54.18,56.323,77.84,58.74,20.898,1.68,19.404,19.62,543.12696702942
t110,-0.0,28.16,30.12,39.519999999999996,11.560905142445588,25.4,24.7,42.156061886974456,32.824999999999996,54.18,56.323,77.84,58.74,20.898,1.68,19.404,19.62,543.1269670294201
t111,-0.0,28.16,30.12,39.519999999999996,11.560905142445588,25.4,24.7,42.15606188697446,32.824999999999996,54.18,56.323,77.84,58.74,20.898,1.68,19.404,19.62,543.1269670294201
t112,-0.0,28.16,30.12,39.519999999999996,11.560905142445588,25.4,24.7,42.156061886974456,32.824999999999996,54.18,56.323,77.84,58.74,20.898,1.68,19.404,19.62,543.1269670294201
